	quartz	water
653.9734867433717	1.4157824838205784	1.4157824838205784
654.4732366183091	1.4991144146687643	1.4991144146687643
654.9729864932466	1.586360409754421	1.586360409754421
655.4727363681841	1.6776361774597615	1.6776361774597615
655.9724862431216	1.7730563591523618	1.7730563591523618
656.4722361180591	1.8727341734671685	1.8727341734671685
656.9719859929965	1.9767810448089398	1.9767810448089398
657.471735867934	2.0853062166078487	2.0853062166078487
657.9714857428714	2.1984163499595626	2.1984163499595626
658.4712356178089	2.3162151083819666	2.3162151083819666
658.9709854927464	2.4388027295233914	2.4388027295233914
659.4707353676838	2.566275584761333	2.566275584761333
659.9704852426213	2.6987257277354733	2.6987257277354733
660.4702351175588	2.836240432964041	2.836240432964041
660.9699849924963	2.978901725797404	2.978901725797404
