	0
711.4447223611805	5.992601490384703e-25
711.944472236118	9.354033400736488e-25
712.4442221110555	1.4575692764203762e-24
712.943971985993	2.2672857848576792e-24
713.4437218609305	3.520708717427295e-24
713.9434717358679	5.457587366759362e-24
714.4432216108054	8.445358087547537e-24
714.9429714857429	1.304614530101735e-23
715.4427213606804	2.011838544149589e-23
715.9424712356179	3.097068480617148e-23
716.4422211105552	4.759433498291546e-23
716.9419709854927	7.30140583069585e-23
717.4417208604302	1.1181613701606006e-22
717.9414707353677	1.709421850795962e-22
718.4412206103052	2.6088000160950033e-22
718.9409704852426	3.9744688413595424e-22
719.4407203601801	6.044552797950534e-22
719.9404702351176	9.176900542302636e-22
720.4402201100551	1.3908319065990069e-21
720.9399699849926	2.1042630830029686e-21
721.4397198599299	3.178133950007053e-21
721.9394697348674	4.791716661585597e-21
722.4392196098049	7.212018513806258e-21
722.9389694847424	1.0836007740923274e-20
723.4387193596799	1.6252813466669158e-20
723.9384692346173	2.4335180175903198e-20
724.4382191095548	3.6373689222218786e-20
724.9379689844923	5.427338490089351e-20
725.4377188594298	8.084129008974824e-20
725.9374687343671	1.2020605193872131e-19
726.4372186093046	1.7842931242284728e-19
726.9369684842421	2.643947584855729e-19
727.4367183591796	3.91098590835356e-19
727.936468234117	5.775192061163936e-19
728.4362181090546	8.513210718460063e-19
728.935967983992	1.2527577704246949e-18
729.4357178589295	1.840295643164632e-18
729.935467733867	2.698701567988723e-18
730.4352176088044	3.95065308917687e-18
730.9349674837418	5.7733741101187385e-18
731.4347173586793	8.422427395389388e-18
731.9344672336168	1.2265679772362921e-17
732.4342171085543	1.7831699591560136e-17
732.9339669834917	2.5878590990605992e-17
733.4337168584292	3.7491713097481043e-17
733.9334667333667	5.422214748737947e-17
734.4332166083042	7.828254091895408e-17
734.9329664832417	1.1282358205140411e-16
735.432716358179	1.6232358478890153e-16
735.9324662331165	2.331364273763532e-16
736.432216108054	3.342607778450785e-16
736.9319659829915	4.78417957565477e-16
737.431715857929	6.835594576838034e-16
737.9314657328664	9.749714335067245e-16
738.4312156078039	1.3882070844507645e-15
738.9309654827414	1.9731649502211704e-15
739.4307153576789	2.7997502948744786e-15
739.9304652326164	3.965719350522619e-15
740.4302151075537	5.6075276600854465e-15
740.9299649824912	7.915304801113139e-15
741.4297148574287	1.1153486159948529e-14
741.9294647323662	1.5689185318585054e-14
742.4292146073037	2.203113763816387e-14
742.9289644822411	3.0883052894109676e-14
743.4287143571786	4.321657025350075e-14
743.9284642321161	6.037082912616151e-14
744.4282141070535	8.418810888448562e-14
744.9279639819911	1.1719825311793905e-13
745.4277138569284	1.628689488424964e-13
745.9274637318659	2.259447315578138e-13
746.4272136068034	3.1290529732683584e-13
746.9269634817408	4.325839308496932e-13
747.4267133566783	5.970003978169526e-13
747.9264632316158	8.224805357567381e-13
748.4262131065533	1.131158356533768e-12
748.9259629814908	1.552987493006299e-12
749.4257128564282	2.1284295447996898e-12
749.9254627313657	2.912040227065788e-12
750.4252126063031	3.977243969774417e-12
750.9249624812406	5.4226785999264464e-12
751.4247123561781	7.380610183695e-12
751.9244622311155	1.0028071970831038e-11
752.424212106053	1.3601580837490908e-11
752.9239619809905	1.841654262202804e-11
753.423711855928	2.4892790761516316e-11
753.9234617308655	3.358813155303776e-11
754.4232116058029	4.5242320611364175e-11
754.9229614807404	6.083460203138608e-11
755.4227113556778	8.165884639243069e-11
755.9224612306153	1.0942147882280579e-10
756.4222111055528	1.4636885998789653e-10
756.9219609804902	1.9545265371082505e-10
757.4217108554277	2.605440880189006e-10
757.9214607303652	3.467110198859082e-10
758.4212106053027	4.605755068016422e-10
758.9209604802402	6.10774367294575e-10
759.4207103551776	8.085512205109674e-10
759.920460230115	1.0685160308895997e-09
760.4202101050525	1.40961761498101e-09
760.91995997999	1.8563863431365457e-09
761.4197098549275	2.4405189382723514e-09
761.9194597298649	3.202895506107465e-09
762.4192096048024	4.196141538773286e-09
762.9189594797399	5.487875600904861e-09
763.4187093546773	7.164817923480626e-09
763.9184592296149	9.337977628376059e-09
764.4182091045523	1.2149188506658153e-08
764.9179589794898	1.577932723709347e-08
765.4177088544272	2.0458626119324315e-08
765.9174587293646	2.6479587738882983e-08
766.4172086043021	3.421312495655539e-08
766.9169584792396	4.4128690337774595e-08
767.4167083541771	5.681932946251562e-08
767.9164582291146	7.303279818907431e-08
768.416208104052	9.37101315728728e-08
768.9159579789895	1.200333495731048e-07
769.415707853927	1.5348434100354665e-07
769.9154577288645	1.9591739293817204e-07
770.415207603802	2.49648340144192e-07
770.9149574787393	3.1756391210131885e-07
771.4147073536768	4.0325556984825473e-07
771.9144572286143	5.111829696293444e-07
772.4142071035518	6.46873185970353e-07
772.9139569784893	8.171629970283009e-07
773.4137068534267	1.0304929064810895e-06
773.9134567283642	1.2972631787414756e-06
774.4132066033017	1.6302640312693653e-06
774.9129564782392	2.0451942962768595e-06
775.4127063531766	2.5612853751024824e-06
775.912456228114	3.202050206907219e-06
776.4122061030515	3.99618030813161e-06
776.911955977989	4.9786177634521405e-06
777.4117058529265	6.1918334198828895e-06
